Year,Type,Min_Number,Max_Number,Expected_Count,Actual_Count,Missing_Count,Gap_Percentage,Missing_Numbers
2019,BP,1,28,28,28,0,0.0,[]
2019,IP,1,165,165,165,0,0.0,[]
2019,SP,1,13,13,13,0,0.0,[]
2019,WP,1,70,70,70,0,0.0,[]
2021,BP,1,23,23,23,0,0.0,[]
2021,IP,1,145,145,145,0,0.0,[]
2021,SP,1,16,16,16,0,0.0,[]
2021,WP,1,65,65,65,0,0.0,[]
2022,BP,1,32,32,31,1,3.125,[26]
2022,IP,1,128,128,127,1,0.78125,[67]
2022,SP,1,13,13,13,0,0.0,[]
2022,WP,1,53,53,53,0,0.0,[]
2023,BP,1,55,55,51,4,7.2727272727272725,"[9, 17, 43, 46]"
2023,IP,1,150,150,150,0,0.0,[]
2023,SP,1,16,16,16,0,0.0,[]
2023,WP,1,62,62,62,0,0.0,[]
2024,BP,1,58,58,58,0,0.0,[]
2024,IP,1,185,185,183,2,1.0810810810810811,"[155, 174]"
2024,SP,1,19,19,19,0,0.0,[]
2024,WP,1,64,64,64,0,0.0,[]
